"id","rss_feed"
"252","http://districtdatalabs.silvrback.com/feed"
"254","http://www.davidklee.net/feed/"
"255","https://bigishdata.com/feed/"
"257","https://solomonmessing.wordpress.com/feed/"
"258","http://nerds.airbnb.com/data/feed/"
"261","http://ramiro.org/rss.xml"
"263","https://northconcepts.com/blog/feed/"
"266","https://preinventedwheel.com/feed/"
"267","http://blog.cloudera.com/feed/"
"268","http://hortonworks.com/blog/feed/"
"269","https://sematext.com/feed/"
"270","https://blogs.apache.org/foundation/feed/entries/atom"
"271","https://allthingshadoop.com/feed/"
"272","http://planetpython.org/rss20.xml"
"273","http://www.johndcook.com/blog/feed/"
"274","https://www.djangoproject.com/rss/weblog/"
"275","http://nedbatchelder.com/blog/rss.xml"
"276","http://blog.briancurtin.com/feed/"
"277","https://pythontips.com/feed/"
"278","http://inventwithpython.com/blog/feed/"
"279","http://www.blog.pythonlibrary.org/feed/"
"280","http://www.pyimagesearch.com/comments/feed/"
"282","http://www.r-bloggers.com/feed/"
"283","http://blog.revolutionanalytics.com/rss.xml"
"284","https://blog.rstudio.org/feed/"
"285","http://www.r-statistics.com/feed/"
"286","https://advanceddataanalytics.net/feed/"
"287","http://andrewgelman.com/feed/"
"289","http://www.win-vector.com/blog/feed/"
"291","https://statswithcats.wordpress.com/feed/"
"292","https://alexanderetz.com/feed/"
"294","https://jeremykun.com/feed/"
"295","http://lemire.me/blog/feed/"
"296","http://www.giseliramos.com.br/blog/feed/"
"297","http://ergodicity.iamganesh.com/feed/atom/"
"298","http://www.dataminingblog.com/feed/"
"299","https://blogs.technet.microsoft.com/machinelearning/feed/"
"300","http://blogs.mathworks.com/steve/feed/"
"302","https://blog.bigml.com/feed/"
"303","http://www.bytemining.com/feed/"
"305","http://timdettmers.com/feed/"
"306","http://www.dataminingreporting.com/2/feed"
"308","http://timoelliott.com/blog/feed"
"309","https://blog.crossjoin.co.uk/feed/"
"310","http://www.powerpivotpro.com/feed/"
"311","http://sqlblog.com/blogs/marco_russo/rss.aspx"
